Filter,Sharpe,Total,MaxDD,Calmar,Trades
No filter,0.42662816817198634,3.425192956496794,-0.2967760680610232,0.2418561369946433,77
Vol>SMA20,0.4182631120451941,3.232447836906977,-0.2967760680610232,0.23436832821640563,71
R²>0.85,0.40576213970120867,3.0602117859510125,-0.3263197715700692,0.20680929859182037,75
R²>0.8 + Vol>SMA20,0.4020688775796179,2.9437189952769383,-0.3263197715700693,0.20237398058603712,69
R²>0.8,0.39959659274368636,2.9792667243274384,-0.32631977157006953,0.20374051458497378,75
R²>0.9,0.3942444674467394,2.6811266137223684,-0.32631977157006964,0.19189957440286814,71
Vol>SMA50,0.3667187470102194,2.3244084460925514,-0.2798752622211662,0.20575123387875285,69
R²>0.85 + Vol>SMA50,0.3076600645444448,1.6497585560080918,-0.2930015008534277,0.15857747415517787,65
R²>0.8 + Vol>SMA50,0.3010288047746265,1.5969325260098985,-0.29300150085342613,0.15522703487414966,65
R²>0.9 + Vol>SMA50,0.2796563634167024,1.3184346605760529,-0.29300150085342647,0.1364120222196124,61
